,cds,ccode,enroll_12,num_act,act_pass_21,num_sat_12,sat_pass_12,enroll_11,num_sat_11,sat_pass_11,act_pt_r,act_ps_r,sat_pt_r_12,sat_ps_r_12,sat_pt_r_11,sat_ps_r_11,sat_pt_r,sat_ps_r
376,43696414332904,43.0,501.0,223.0,201,183.0,170.0,484.0,291.0,285.0,0.22255489021956087,0.40119760479041916,0.3652694610778443,0.9289617486338798,0.6012396694214877,0.979381443298969,0.4812182741116751,0.4619289340101523
377,10621661032911,10.0,360.0,31.0,4,89.0,14.0,420.0,311.0,45.0,0.043055555555555555,0.011111111111111112,0.24722222222222223,0.15730337078651685,0.7404761904761905,0.14469453376205788,0.5128205128205128,0.07564102564102564
378,07617960730598,7.0,219.0,20.0,13,208.0,76.0,236.0,70.0,61.0,0.045662100456621,0.0593607305936073,0.9497716894977168,0.36538461538461536,0.2966101694915254,0.8714285714285714,0.610989010989011,0.3010989010989011
379,33672070113191,33.0,610.0,150.0,44,229.0,56.0,719.0,197.0,70.0,0.12295081967213115,0.07213114754098361,0.37540983606557377,0.2445414847161572,0.27399165507649514,0.3553299492385787,0.32054176072234764,0.09480812641083522
380,07617210107797,7.0,574.0,112.0,87,244.0,156.0,590.0,222.0,174.0,0.0975609756097561,0.15156794425087108,0.4250871080139373,0.639344262295082,0.376271186440678,0.7837837837837838,0.40034364261168387,0.28350515463917525
381,36750443630407,36.0,445.0,40.0,9,108.0,16.0,491.0,252.0,70.0,0.0449438202247191,0.020224719101123594,0.24269662921348314,0.14814814814814814,0.5132382892057027,0.2777777777777778,0.38461538461538464,0.09188034188034189
382,37683383731247,37.0,126.0,25.0,15,92.0,28.0,126.0,65.0,32.0,0.0992063492063492,0.11904761904761904,0.7301587301587301,0.30434782608695654,0.5158730158730159,0.49230769230769234,0.623015873015873,0.23809523809523808
383,37764710114678,37.0,147.0,16.0,6,91.0,19.0,137.0,101.0,35.0,0.05442176870748299,0.04081632653061224,0.6190476190476191,0.2087912087912088,0.7372262773722628,0.3465346534653465,0.676056338028169,0.19014084507042253
384,37683380106732,37.0,98.0,22.0,10,77.0,37.0,98.0,60.0,29.0,0.11224489795918367,0.10204081632653061,0.7857142857142857,0.4805194805194805,0.6122448979591837,0.48333333333333334,0.6989795918367347,0.336734693877551
385,37683380108787,37.0,90.0,38.0,19,47.0,13.0,97.0,61.0,33.0,0.2111111111111111,0.2111111111111111,0.5222222222222223,0.2765957446808511,0.6288659793814433,0.5409836065573771,0.5775401069518716,0.24598930481283424
